CLX CLY CDX CDY
0.0 -0.000004042731673870037 0.01564537157757495 0.5162669415724204
0.08604954367666251 -0.02485471433047315 0.16427640156453716 0.5177405172675176
0.21903520208604965 -0.03422576635032315 0.33637548891786173 0.5161011895737949
0.3833116036505867 -0.01880678774648059 0.49282920469361147 0.5036172341651253
0.4771838331160364 0.00905167621761982 0.5710560625814866 0.4741194425073021
0.563233376792699 0.0524180588823866 0.5945241199478489 0.45705305074638936
0.6649282920469363 0.11128023205279791 0.6336375488917864 0.45238167429732257
0.7822685788787486 0.1825374205350554 0.7431551499348111 0.4616274016352848
0.8996088657105606 0.24604267103281674 0.8761408083441983 0.47861293876272193
1.0404172099087354 0.311086180932456 1.032594524119948 0.506439060873432
1.1890482398956976 0.36527293492212676 1.1108213820078228 0.532755222703981
1.4237288135593222 0.4008105677005952 1.3298565840938723 0.5574482277675024
1.8617992177314213 0.3990337871299636 1.5410691003911343 0.5790445003688993
2.1981747066492834 0.37405374811760295 1.9713168187744459 0.594326026095833
2.573663624511082 0.3583558210282688 2.292046936114733 0.6003618244848044
3.019556714471969 0.3503734473383665 2.714471968709257 0.6063450673620165
3.426336375488918 0.3455120625006316 2.980443285528031 0.6139595524696038
3.880052151238593 0.34992874685424935 3.590612777053455 0.6260473201742418
4.286831812255542 0.362121625582406 3.8878748370273803 0.6336456343551338
4.709256844850066 0.37430641884721505 4.26336375488918 0.6443042964130864
5.014341590612778 0.39430379107162705 4.8422425032594525 0.6626097854320165
5.264667535853977 0.40657752443325956 5.233376792698827 0.6779115248173191
